nace_r2,geo,2020,2021,2022,2023,2024
Q,HU,33.3,34.7,32.9,33.8,37.0
Q,IE,62.1,64.1,66.6,66.7,69.0
Q,IS,45.4,45.6,44.8,46.3,48.9
Q,IT,47.2,47.1,47.0,47.7,48.7
Q,LT,62.5,63.9,65.3,65.5,67.4
Q,LU,32.9,41.0,43.0,40.4,44.4
Q,LV,51.9,56.4,54.2,52.2,53.1
Q,MT,51.1,49.0,48.3,48.0,51.0
Q,NL,44.1,42.5,43.6,43.5,44.1
Q,NO,56.5,55.8,56.1,57.1,58.9
Q,PL,55.2,53.8,53.7,57.7,58.5
Q,PT,49.3,48.5,47.9,47.1,49.3
Q,RO,29.4,26.7,27.3,28.5,29.8
Q,SE,51.2,52.3,53.9,54.8,54.3
Q,SI,50.2,53.8,57.7,49.6,49.7
Q,SK,36.3,38.8,39.8,38.7,41.0
R,AT,41.0,45.9,47.3,48.8,47.3
R,BE,50.5,49.3,47.6,50.7,50.5
R,BG,50.7,56.5,48.9,44.9,46.5
R,CH,44.9,48.6,50.2,52.6,48.3
R,CY,48.4,44.6,52.5,56.9,48.0
R,CZ,35.7,39.9,35.5,34.6,37.9
R,DE,32.2,33.6,33.1,34.0,32.3
R,DK,38.8,34.9,37.5,36.2,39.4
R,EE,52.8,49.3,60.0,54.8,51.4
R,EL,51.0,49.9,47.8,44.7,52.3
R,ES,51.6,52.9,48.0,47.2,47.2
R,FI,44.1,42.4,42.5,42.4,39.7
R,FR,47.3,52.7,54.4,54.1,56.9
R,HR,38.3,43.2,45.6,53.6,48.8
R,HU,47.3,45.9,41.8,47.4,50.3
R,IE,40.5,45.6,46.8,45.1,46.5
R,IS,40.9,40.5,41.1,46.9,41.0
R,IT,28.2,30.0,31.2,30.9,32.0
R,LT,60.2,66.1,64.2,68.0,67.4
R,LV,43.3,53.3,51.1,42.6,41.4
R,MT,49.4,54.0,41.5,47.6,55.3
R,NL,41.2,35.2,38.3,40.8,40.4
R,NO,48.9,51.5,49.9,48.2,47.1
R,PL,51.5,47.7,47.9,53.7,54.7
R,PT,43.9,42.2,49.4,46.3,44.7
R,RO,37.9,35.9,40.8,44.4,42.5
R,SE,46.8,43.9,41.8,43.5,47.4
R,SI,58.2,57.3,54.7,48.7,55.4
R,SK,30.1,38.0,38.0,35.9,32.9
S,AT,36.3,40.1,36.2,41.9,36.2
S,BE,55.5,55.7,55.1,57.2,55.8
S,BG,35.8,37.1,32.4,28.4,33.6
S,CH,53.5,51.6,51.2,52.7,53.7
S,CY,40.2,46.1,50.1,56.0,45.4
