freq,size_emp,nace_r2,indic_is,unit,geo\TIME_PERIOD	2012 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2022 	2024 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,BG	: 	: 	: 	5.08 	4.96 	4.20 	5.57 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,CY	: 	: 	: 	4.90 	8.35 	8.25 	11.53 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,CZ	: 	: 	: 	14.32 	14.73 	14.73 	14.92 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,DE	: 	: 	: 	17.41 	17.43 	17.96 	18.50 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,DK	: 	: 	: 	17.37 	15.83 	16.92 	16.86 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,EA	: 	: 	: 	12.66 	12.45 	12.94 	13.35 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,EE	: 	: 	: 	6.08 	6.90 	6.31 	7.70 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,EL	: 	: 	: 	12.60 	8.93 	9.58 	: u	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,ES	: 	: 	: 	15.55 	11.48 	11.10 	9.57 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,EU15	: 	: 	: 	13.09 	12.86 	13.35 	: 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,EU27_2007	: 	: 	: 	11.99 	11.77 	12.21 	: 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,EU27_2020	: 	: 	: 	11.68 	11.53 	11.95 	12.60 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,EU28	: 	: 	: 	11.97 	11.76 	12.20 	12.87 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,FI	: 	: 	: 	15.60 	18.67 	20.73 	20.07 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,FR	: 	: 	: 	10.73 	12.16 	12.47 	12.66 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,HR	: 	: 	: 	9.56 	11.01 	11.56 	11.08 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,HU	: 	: 	: 	11.20 	10.30 	10.42 	12.25 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,IE	: 	: 	: 	21.89 	26.05 	21.99 	20.99 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,IT	: 	: 	: 	6.25 	5.64 	7.95 	9.40 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,LT	: 	: 	: 	5.38 	5.50 	6.28 	6.78 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,LU	: 	: 	: 	21.42 	25.57 	22.63 	21.04 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,LV	: 	: 	: 	5.13 	4.06 	4.22 	6.29 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,ME	: 	: 	: 	: u	13.35 	8.49 	7.59 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,MK	: 	: 	: 	4.04 	: 	: 	: 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,MT	: 	: 	: 	16.09 	12.51 	8.25 	11.62 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,NL	: 	: 	: 	15.17 	18.77 	16.55 	: 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,NO	: 	: 	: 	14.53 	14.61 	16.51 	14.03 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,PL	: 	: 	: 	7.34 	7.16 	7.62 	9.65 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,PT	: 	: 	: 	7.49 	10.33 	8.72 	9.91 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,RO	: 	: 	: 	2.49 	2.63 	2.90 	3.25 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,RS	: 	: 	: 	: 	15.54 	13.30 	14.25 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,SE	: 	: 	: 	11.33 	12.28 	11.24 	15.33 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,SI	: 	: 	: 	15.63 	14.41 	15.91 	14.23 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,SK	: 	: 	: 	12.17 	11.46 	11.17 	12.63 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,TR	: 	: 	: 	: 	: 	6.10 	7.70 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,UK	: 	: 	: 	15.10 	14.41 	15.05 	15.92 	: 	: 	: 
A,GE10,C,E_ITSPT2,PC_ENT,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,GE10,C,E_ITSPT2,PC_ENT,AT	16.25 	15.48 	17.30 	19.39 	18.22 	13.95 	17.34 	14.79 	18.53 	19.16 
A,GE10,C,E_ITSPT2,PC_ENT,BA	: 	: 	: 	: 	: 	5.18 	6.38 	7.89 	4.69 	6.98 
A,GE10,C,E_ITSPT2,PC_ENT,BE	15.21 	16.54 	17.59 	17.69 	18.95 	18.11 	: u	: u	21.69 	19.76 
A,GE10,C,E_ITSPT2,PC_ENT,BG	: u	4.49 	4.74 	3.72 	4.13 	3.50 	4.13 	4.08 	3.98 	4.36 
A,GE10,C,E_ITSPT2,PC_ENT,CY	5.84 	3.34 	4.07 	4.02 	5.06 	6.47 	9.33 	6.55 	7.60 	5.37 
A,GE10,C,E_ITSPT2,PC_ENT,CZ	13.56 	11.15 	10.60 	11.70 	12.57 	11.92 	12.22 	11.86 	11.60 	11.71 
A,GE10,C,E_ITSPT2,PC_ENT,DE	13.59 	15.21 	16.04 	14.99 	15.42 	15.84 	15.97 	14.39 	14.78 	15.50 
A,GE10,C,E_ITSPT2,PC_ENT,DK	11.48 	15.24 	13.15 	15.66 	13.48 	15.01 	14.78 	16.47 	18.05 	16.40 
A,GE10,C,E_ITSPT2,PC_ENT,EA	8.83 	9.90 	10.47 	10.55 	10.78 	11.16 	11.16 	10.57 	11.34 	10.71 
A,GE10,C,E_ITSPT2,PC_ENT,EE	5.65 	5.94 	6.05 	5.08 	5.74 	5.01 	6.76 	7.59 	6.72 	7.57 
A,GE10,C,E_ITSPT2,PC_ENT,EL	: u	: u	11.55 	10.55 	8.25 	8.62 	: u	: u	9.03 	9.27 
A,GE10,C,E_ITSPT2,PC_ENT,ES	6.61 	10.17 	11.11 	12.82 	10.32 	9.69 	7.67 	9.03 	7.08 	7.42 
A,GE10,C,E_ITSPT2,PC_ENT,EU15	9.33 	10.10 	10.64 	10.70 	10.99 	11.32 	: 	: 	: 	: 
A,GE10,C,E_ITSPT2,PC_ENT,EU27_2007	8.56 	9.11 	9.58 	9.67 	9.89 	10.21 	: 	: 	: 	: 
A,GE10,C,E_ITSPT2,PC_ENT,EU27_2020	8.16 	8.99 	9.49 	9.56 	9.76 	10.11 	10.23 	9.86 	10.78 	11.16 
A,GE10,C,E_ITSPT2,PC_ENT,EU28	8.57 	9.11 	9.58 	9.64 	9.87 	10.19 	10.38 	: 	: 	: 
A,GE10,C,E_ITSPT2,PC_ENT,FI	17.34 	16.64 	18.14 	14.27 	15.83 	17.25 	15.63 	15.56 	17.08 	17.10 
A,GE10,C,E_ITSPT2,PC_ENT,FR	8.44 	9.06 	9.36 	8.72 	10.10 	10.16 	9.80 	9.03 	9.74 b	8.05 
A,GE10,C,E_ITSPT2,PC_ENT,HR	9.97 	8.74 	9.85 	6.75 	7.65 	8.21 	8.01 	7.18 	6.61 	6.64 
A,GE10,C,E_ITSPT2,PC_ENT,HU	5.81 	6.30 	6.24 	7.38 	6.83 	6.56 	7.73 	7.03 	9.20 	8.33 
A,GE10,C,E_ITSPT2,PC_ENT,IE	15.57 	13.62 	15.10 	13.98 	18.73 	14.21 	13.53 	11.88 	13.82 	13.20 
A,GE10,C,E_ITSPT2,PC_ENT,IS	4.49 	5.86 	: 	: 	: 	: 	: 	: 	: 	: 
A,GE10,C,E_ITSPT2,PC_ENT,IT	3.69 	4.33 	4.50 	4.85 	5.00 	7.21 	8.00 	7.09 	8.76 	7.07 
A,GE10,C,E_ITSPT2,PC_ENT,LT	4.53 	4.29 	6.32 	4.35 	3.90 	4.57 	5.58 	5.96 	6.09 	7.60 
