freq,product,nrg_cons,unit,tax,currency,geo,2016,2020,flag_2016,flag_2020
S,6000,MWH20-499,KWH,X_VAT,EUR,IT,0.18059999999999998,0.16995,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,LI,,,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,LT,0.10250000000000001,0.10985,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,LU,0.10139999999999999,0.1168,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,LV,0.13225,0.1282,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,MD,0.0852,0.0817,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,ME,0.09040000000000001,0.09265000000000001,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,MK,0.10275000000000001,0.09140000000000001,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,MT,0.15675,0.15184999999999998,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,NL,0.12005,0.132,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,NO,0.0785,0.05,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,PL,0.10665,0.13065,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,PT,0.1499,0.14195,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,RO,0.0915,0.1181,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,RS,0.0708,0.0935,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,SE,0.07394999999999999,0.07769999999999999,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,SI,0.10364999999999999,0.11560000000000001,NaN,NaN
